bin,lon_rad,lon_deg,lat_summer_rad,lat_summer_deg,lat_winter_rad,lat_winter_deg
0,-3.132866,-179.499994,0.348654,19.976394,-0.394226,-22.587509
1,-3.115413,-178.5,0.341971,19.59349,-0.394448,-22.600213
2,-3.09796,-177.500006,0.334638,19.17334,-0.394689,-22.613988
3,-3.080506,-176.499998,0.326645,18.715391,-0.394947,-22.628811
4,-3.063053,-175.500003,0.318023,18.221379,-0.395222,-22.644556
5,-3.045599,-174.499995,0.308812,17.6936,-0.39551,-22.661077
6,-3.028146,-173.500001,0.299051,17.134361,-0.39581,-22.678222
7,-3.010693,-172.500007,0.288781,16.545961,-0.396117,-22.695844
8,-2.99324,-171.499999,0.278056,15.93142,-0.39643,-22.713751
9,-2.975786,-170.500004,0.266977,15.296629,-0.396741,-22.731602
10,-2.958333,-169.499996,0.255659,14.648196,-0.397045,-22.749012
11,-2.94088,-168.500002,0.244219,13.992731,-0.397335,-22.765596
12,-2.923426,-167.499994,0.232772,13.33684,-0.397603,-22.780969
13,-2.905973,-166.5,0.221439,12.68752,-0.397842,-22.794687
14,-2.88852,-165.500005,0.21037,12.053319,-0.398041,-22.806063
15,-2.871067,-164.499997,0.199721,11.443173,-0.398185,-22.814345
16,-2.853613,-163.500003,0.189648,10.866018,-0.398263,-22.818784
17,-2.83616,-162.499995,0.180306,10.330789,-0.39826,-22.818632
18,-2.818707,-161.500001,0.171846,9.846065,-0.398163,-22.813033
19,-2.801254,-160.500006,0.164392,9.418995,-0.397947,-22.800705
20,-2.7838,-159.499998,0.158063,9.056368,-0.397591,-22.780262
21,-2.766347,-158.500004,0.152978,8.764978,-0.397068,-22.750319
22,-2.748893,-157.499996,0.149254,8.551614,-0.396355,-22.709484
23,-2.73144,-156.500002,0.146992,8.422023,-0.395426,-22.656214
24,-2.713987,-155.499994,0.14622,8.377779,-0.39424,-22.588306
25,-2.696534,-154.499999,0.146946,8.419414,-0.392758,-22.503404
26,-2.67908,-153.500005,0.149181,8.547453,-0.390939,-22.399146
27,-2.661627,-152.499997,0.152933,8.76243,-0.38874,-22.273172
28,-2.644174,-151.500003,0.158192,9.063727,-0.386119,-22.122972
29,-2.62672,-150.499995,0.164866,9.446148,-0.38302,-21.945435
30,-2.609267,-149.5,0.172846,9.903354,-0.379387,-21.737302
31,-2.591814,-148.500006,0.18202,10.429003,-0.375164,-21.495312
32,-2.574361,-147.499998,0.192279,11.016754,-0.370293,-21.216203
33,-2.556907,-146.500004,0.2035,11.659696,-0.364717,-20.896752
34,-2.539454,-145.499996,0.215524,12.348632,-0.358384,-20.533874
35,-2.522001,-144.500001,0.228181,13.073797,-0.351239,-20.124521
36,-2.504547,-143.499993,0.241299,13.825422,-0.34323,-19.665643
37,-2.487094,-142.499999,0.254709,14.593742,-0.334304,-19.154195
38,-2.469641,-141.500005,0.268244,15.369242,-0.324413,-18.587515
