plate,pole_x,pole_y,pole_z,omega,isOcean,origIsOcean,density,densityLand,densityOcean
14776,-0.704445798,-0.590540542,0.393723234,0.729798554,1,1,3.268147,2.646856,3.268147
5122,0.73677586,-0.532781521,-0.416299392,-0.692098242,1,1,3.396044,2.712639,3.396044
6204,-0.377659941,-0.889620586,-0.256803779,1.174169986,1,1,3.27709,2.448067,3.27709
5061,-0.974790557,0.212460423,-0.068146447,-1.747007955,1,1,3.175856,2.50713,3.175856
18720,-0.399020929,0.050923765,0.915526662,-0.692455955,0,0,2.458805,2.458805,3.316062
15507,0.848996852,-0.277585085,0.449611906,-1.720486139,1,1,3.374011,2.896484,3.374011
12068,0.078743946,0.033085614,-0.99634569,-1.563508936,1,1,3.206343,2.408835,3.206343
44,-0.531680529,0.833624244,-0.14962097,-0.740275674,1,1,3.074464,2.408107,3.074464
15896,0.939098971,0.328280191,0.101613181,1.109552634,1,1,3.032261,2.608667,3.032261
5160,-0.793870791,0.171554313,-0.583385194,0.5337893,1,1,3.279112,2.439022,3.279112
11384,0.804363577,0.369814929,0.465011995,-0.842450435,1,1,3.311116,2.833943,3.311116
4515,-0.518735265,0.752784264,0.405252485,0.558889811,1,1,3.30335,2.806997,3.30335
3988,0.764436861,-0.596464044,0.244677195,-1.467211943,1,1,3.122379,2.720055,3.122379
19580,-0.558046909,-0.699352026,0.446643472,1.802630363,1,1,3.117078,2.634838,3.117078
10467,0.827190991,0.215183911,0.519086648,1.46697583,1,1,3.435498,2.818335,3.435498
10490,-0.770141674,-0.145265751,-0.621111636,1.982563644,1,1,3.272618,2.797462,3.272618
13018,-0.51309798,-0.423779562,-0.746419015,-1.951720107,0,0,2.568406,2.568406,3.283047
9970,-0.745390927,0.065841649,0.663368106,0.670814773,0,0,2.725906,2.725906,3.346423
2738,0.775641106,0.531658222,-0.340177027,-1.733539609,0,0,2.615356,2.615356,3.126716
17634,0.02908893,0.925338343,0.378024847,0.847702105,0,0,2.857442,2.857442,3.28943
11508,-0.027491537,0.816427383,0.576793328,-1.374106114,1,1,3.324286,2.677929,3.324286
16709,0.902746872,-0.428098229,0.042189946,-0.564827952,1,1,3.12264,2.609964,3.12264
1728,-0.311722099,-0.868327982,-0.385792493,-1.239182618,1,1,3.36622,2.466758,3.36622
1470,-0.621971009,0.775721968,0.106805861,0.564585819,1,1,3.475916,2.613948,3.475916
17321,0.358762506,-0.02404806,0.933119046,1.948860524,1,1,3.397316,2.598025,3.397316
2125,0.921674528,-0.387463267,-0.019704875,1.86513514,1,1,3.315643,2.410811,3.315643
8900,0.075861532,-0.981500123,0.175791172,-1.641669931,0,0,2.588283,2.588283,3.402135
19099,-0.384612317,0.048646137,0.921795486,-1.712555399,1,1,3.110347,2.50615,3.110347
9964,0.326339378,0.675014424,-0.661708499,-1.748952861,1,1,3.128043,2.427004,3.128043
1019,0.951285654,0.196775993,0.237349561,0.600554557,1,1,3.06108,2.479773,3.06108
16988,0.251260523,-0.962272667,-0.104400496,0.755653071,1,1,3.277272,2.508933,3.277272
9206,-0.13207401,-0.111671364,0.98492942,-1.031572046,1,1,3.039474,2.832314,3.039474
11017,0.252960783,0.456785622,0.852852706,1.171569755,0,0,2.884403,2.884403,3.45359
5532,0.331849837,0.525414134,0.783463894,1.008253483,1,1,3.318621,2.47098,3.318621
11071,0.209890357,0.224192441,0.951674202,-1.841240238,1,1,3.419002,2.574526,3.419002
15628,-0.550343916,-0.091898667,-0.829865175,1.592011796,0,0,2.591019,2.591019,3.277991
15254,-0.343746684,-0.731232867,0.589183089,-1.550134281,1,1,3.165688,2.626093,3.165688
6440,0.280169891,-0.959055044,0.041451832,1.760714955,0,0,2.538234,2.538234,3.366671
2386,0.073662974,0.603573486,0.793897231,0.523071232,1,1,3.315137,2.413072,3.315137
18925,-0.882769557,0.420496101,-0.209525509,-1.628584762,1,1,3.277351,2.837975,3.277351
7395,-0.187016102,-0.943152738,0.274750596,-1.049956606,1,1,3.125357,2.780225,3.125357
5700,0.059395399,0.826196843,0.560241879,1.238953969,1,1,3.433239,2.840252,3.433239
8807,0.755649958,-0.053431241,-0.65279265,-1.635458899,1,1,3.017258,2.455294,3.017258
14402,-0.532774652,-0.273742863,-0.800759649,-0.974448559,1,1,3.155845,2.68193,3.155845
6555,0.93425515,-0.265401609,0.238179134,0.557538705,1,1,3.052272,2.433867,3.052272
13884,-0.127490964,-0.672558614,-0.728979399,1.282438693,1,1,3.302442,2.543342,3.302442
15346,-0.969670343,-0.058026852,-0.237428538,0.903931272,0,0,2.542599,2.542599,3.014169
7826,0.206660275,-0.198941896,-0.957973722,0.7517481,1,1,3.312262,2.584725,3.312262
